ms_played,frequency,release_date,acousticness,danceability,energy,key,instrumentalness,liveness,loudness,mode,speechiness,valence,tempo,time_signature,popularity
46004,65.0,2020,0.00173,0.659,0.667,11.0,2.85e-05,0.1,-4.668,0.0,0.0339,0.468,115.982,4.0,76.0
189796,19.0,2017,0.287,0.771,0.431,10.0,2.75e-06,0.0934,-5.423,1.0,0.0577,0.268,107.047,4.0,61.0
207927,276.0,2021,0.192,0.747,0.822,1.0,0.0,0.288,-5.15,1.0,0.0893,0.862,115.937,4.0,61.0
210560,7.0,2021,0.304,0.664,0.609,1.0,0.0,0.0926,-6.509,1.0,0.0707,0.194,130.041,4.0,84.0
207927,276.0,2021,0.192,0.747,0.822,1.0,0.0,0.288,-5.15,1.0,0.0893,0.862,115.937,4.0,61.0
361917,276.0,2021,0.192,0.747,0.822,1.0,0.0,0.288,-5.15,1.0,0.0893,0.862,115.937,4.0,61.0
238805,100.0,2020,0.44,0.761,0.525,11.0,6.7e-06,0.0921,-6.9,1.0,0.0944,0.531,80.87,4.0,84.0
216045,32.0,2020,0.00964,0.51,0.748,2.0,0.00163,0.161,-5.955,1.0,0.0776,0.327,164.982,3.0,40.0
143530,28.0,2021,0.627,0.715,0.374,8.0,0.0,0.11,-6.665,1.0,0.0399,0.633,89.982,4.0,59.0
111911,276.0,2021,0.192,0.747,0.822,1.0,0.0,0.288,-5.15,1.0,0.0893,0.862,115.937,4.0,61.0
207927,276.0,2021,0.192,0.747,0.822,1.0,0.0,0.288,-5.15,1.0,0.0893,0.862,115.937,4.0,61.0
169290,276.0,2021,0.192,0.747,0.822,1.0,0.0,0.288,-5.15,1.0,0.0893,0.862,115.937,4.0,61.0
85035,3.0,2020,0.166,0.601,0.649,7.0,3.35e-05,0.165,-6.979,1.0,0.133,0.351,89.73,4.0,71.0
186050,21.0,2020,0.331,0.787,0.735,0.0,4.09e-05,0.113,-4.808,0.0,0.0857,0.698,97.957,4.0,64.0
167125,276.0,2021,0.192,0.747,0.822,1.0,0.0,0.288,-5.15,1.0,0.0893,0.862,115.937,4.0,61.0
207927,276.0,2021,0.192,0.747,0.822,1.0,0.0,0.288,-5.15,1.0,0.0893,0.862,115.937,4.0,61.0
175608,42.0,2022,0.279,0.64,0.645,9.0,1.18e-05,0.115,-5.844,1.0,0.109,0.484,168.03,4.0,67.0
139906,108.0,2020,0.342,0.684,0.856,6.0,0.00728,0.109,-2.676,1.0,0.0411,0.343,117.027,4.0,71.0
51850,4.0,2020,0.269,0.759,0.55,2.0,2.3e-06,0.121,-8.018,1.0,0.056,0.626,97.009,4.0,53.0
141869,4.0,2020,0.269,0.759,0.55,2.0,2.3e-06,0.121,-8.018,1.0,0.056,0.626,97.009,4.0,53.0
194693,27.0,2021,0.429,0.875,0.649,6.0,0.00237,0.0704,-5.754,1.0,0.0433,0.833,140.031,4.0,73.0
153293,33.0,2020,0.141,0.765,0.663,0.0,0.000297,0.0924,-5.223,1.0,0.0652,0.686,150.091,4.0,69.0
162376,4.0,2020,0.599,0.589,0.527,0.0,0.000111,0.0853,-9.962,1.0,0.0342,0.132,133.981,4.0,70.0
120910,5.0,2021,0.142,0.665,0.788,5.0,0.0,0.317,-3.889,0.0,0.0857,0.63,80.476,4.0,58.0
210000,5.0,2019,0.617,0.676,0.525,9.0,0.0,0.356,-5.88,1.0,0.028,0.421,112.011,4.0,74.0
134369,3.0,2021,0.296,0.761,0.553,1.0,1.74e-05,0.194,-8.318,0.0,0.156,0.367,87.487,4.0,56.0
65040,3.0,2019,0.132,0.641,0.842,9.0,0.91,0.419,-7.27,1.0,0.0292,0.5,129.98,4.0,82.0
124430,4.0,2022,0.0426,0.634,0.568,5.0,1.85e-06,0.456,-7.757,0.0,0.0354,0.369,123.885,4.0,58.0
170405,48.0,2020,0.268,0.746,0.741,11.0,0.0,0.644,-5.459,1.0,0.0567,0.72,119.983,4.0,63.0
180830,169.0,2020,0.09,0.71,0.618,11.0,3.93e-05,0.141,-8.865,0.0,0.0598,0.797,94.995,4.0,48.0
207927,276.0,2021,0.192,0.747,0.822,1.0,0.0,0.288,-5.15,1.0,0.0893,0.862,115.937,4.0,61.0
169750,37.0,2016,0.308,0.529,0.894,2.0,5.38e-06,0.254,-3.599,1.0,0.0412,0.543,108.024,4.0,67.0
163782,169.0,2020,0.09,0.71,0.618,11.0,3.93e-05,0.141,-8.865,0.0,0.0598,0.797,94.995,4.0,48.0
238805,100.0,2020,0.44,0.761,0.525,11.0,6.7e-06,0.0921,-6.9,1.0,0.0944,0.531,80.87,4.0,84.0
203122,71.0,2021,0.037,0.708,0.598,5.0,0.0,0.17,-8.365,1.0,0.0291,0.698,112.027,4.0,73.0
243535,88.0,2018,0.0319,0.556,0.671,11.0,0.000377,0.111,-6.366,0.0,0.0647,0.252,105.057,4.0,51.0
223182,37.0,2021,0.188,0.54,0.82,0.0,0.0,0.0724,-3.848,1.0,0.0437,0.465,123.991,4.0,65.0
258004,65.0,2020,0.00173,0.659,0.667,11.0,2.85e-05,0.1,-4.668,0.0,0.0339,0.468,115.982,4.0,76.0
242096,82.0,2021,0.182,0.586,0.616,5.0,0.0,0.0927,-7.964,1.0,0.0324,0.719,148.088,4.0,68.0
141805,27.0,2021,0.0383,0.591,0.764,1.0,0.0,0.103,-5.484,1.0,0.0483,0.478,169.928,4.0,89.0
161559,35.0,1982,0.325,0.822,0.335,1.0,0.000957,0.201,-12.71,0.0,0.127,0.9,73.77,4.0,44.0
150819,50.0,2020,0.00248,0.714,0.798,5.0,0.000678,0.103,-4.239,0.0,0.0612,0.659,119.017,4.0,63.0
209026,35.0,1982,0.325,0.822,0.335,1.0,0.000957,0.201,-12.71,0.0,0.127,0.9,73.77,4.0,44.0
216045,32.0,2020,0.00964,0.51,0.748,2.0,0.00163,0.161,-5.955,1.0,0.0776,0.327,164.982,3.0,40.0
238826,22.0,2017,0.0076,0.703,0.628,5.0,0.0,0.471,-6.349,0.0,0.0284,0.425,103.983,4.0,48.0
175608,42.0,2022,0.279,0.64,0.645,9.0,1.18e-05,0.115,-5.844,1.0,0.109,0.484,168.03,4.0,67.0
245026,141.0,2021,0.769,0.581,0.619,10.0,0.000106,0.117,-6.524,1.0,0.0282,0.645,137.915,4.0,77.0
254466,21.0,2021,0.44,0.53,0.712,0.0,0.0233,0.0931,-8.135,1.0,0.0461,0.577,167.964,4.0,68.0
219332,50.0,2019,0.0112,0.676,0.56,4.0,0.00403,0.137,-6.024,0.0,0.0643,0.551,178.555,4.0,64.0
246755,36.0,2013,0.606,0.733,0.62,1.0,0.305,0.117,-10.525,1.0,0.075,0.247,111.039,4.0,71.0
277591,50.0,2021,0.167,0.661,0.819,11.0,0.0,0.0647,-6.269,0.0,0.0519,0.724,135.937,4.0,72.0
214623,19.0,2021,0.0377,0.646,0.785,2.0,0.0,0.0897,-4.801,0.0,0.0545,0.52,100.911,4.0,62.0
208760,31.0,2013,0.0807,0.636,0.676,2.0,0.0,0.0831,-3.442,1.0,0.0263,0.273,113.98,4.0,79.0
227203,27.0,2021,0.717,0.197,0.406,2.0,0.000362,0.293,-10.904,1.0,0.0619,0.251,90.053,4.0,63.0
211642,37.0,2016,0.308,0.529,0.894,2.0,5.38e-06,0.254,-3.599,1.0,0.0412,0.543,108.024,4.0,67.0
207927,276.0,2021,0.192,0.747,0.822,1.0,0.0,0.288,-5.15,1.0,0.0893,0.862,115.937,4.0,61.0
243535,88.0,2018,0.0319,0.556,0.671,11.0,0.000377,0.111,-6.366,0.0,0.0647,0.252,105.057,4.0,51.0
242096,82.0,2021,0.182,0.586,0.616,5.0,0.0,0.0927,-7.964,1.0,0.0324,0.719,148.088,4.0,68.0
